"year","unitid","inst_name","state_name","number_applied","number_admitted","sat_crit_read_25_pctl","sat_crit_read_75_pctl","sat_math_25_pctl","sat_math_75_pctl","act_composite_25_pctl","act_composite_75_pctl","act_english_25_pctl","act_english_75_pctl","act_math_25_pctl","act_math_75_pctl","inst_control","institution_level"
"2006","160977","Bates College","Maine","4305","1363","","","","","","","","","","","Private not-for-profit","Four or more years"
"2006","161004","Bowdoin College","Maine","5401","1165","650","750","650","730","","","","","","","Private not-for-profit","Four or more years"
"2006","161086","Colby College","Maine","4242","1411","630","710","640","720","27","31","26","32","26","31","Private not-for-profit","Four or more years"
"2006","161165","Husson College","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2006","161217","University of Maine at Augusta","Maine","","","","","","","","","","","","","Public","Four or more years"
"2006","161226","University of Maine at Farmington","Maine","1602","1190","","","","","","","","","","","Public","Four or more years"
"2006","161235","University of Maine at Fort Kent","Maine","","","","","","","","","","","","","Public","Four or more years"
"2006","161244","University of Maine at Machias","Maine","357","300","440","540","410","520","18","25","17","22","17","24","Public","Four or more years"
"2006","161253","University of Maine","Maine","5702","4580","480","590","490","600","20","25","","","","","Public","Four or more years"
"2006","161280","University of Maine System Central Office","Maine","","","","","","","","","","","","","Public","Four or more years"
"2006","161299","Maine Maritime Academy","Maine","820","534","440","550","470","580","18","23","16","22","18","23","Public","Four or more years"
"2006","161341","University of Maine at Presque Isle","Maine","","","","","","","","","","","","","Public","Four or more years"
"2006","161448","New England Baptist Bible College","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2006","161457","University of New England","Maine","2277","1951","470","560","470","580","","","","","","","Private not-for-profit","Four or more years"
"2006","161509","Maine College of Art","Maine","482","364","440","590","420","580","17","20","18","29","16","26","Private not-for-profit","Four or more years"
"2006","161518","Saint Josephs College","Maine","1190","953","440","520","440","540","","","","","","","Private not-for-profit","Four or more years"
"2006","161554","University of Southern Maine","Maine","3640","2828","440","550","440","540","18","23","17","23","17","22","Public","Four or more years"
"2006","161563","Thomas College","Maine","612","449","450","510","460","530","15","25","","","","","Private not-for-profit","Four or more years"
"2006","161572","Unity College","Maine","426","326","","","","","","","","","","","Private not-for-profit","Four or more years"
"2006","373827","New England School of Communications","Maine","351","299","","","","","","","","","","","Private not-for-profit","Four or more years"
"2005","160959","College of the Atlantic","Maine","284","188","","","","","","","","","","","Private not-for-profit","Four or more years"
"2005","160968","Bangor Theological Seminary","Maine","8","6","","","","","","","","","","","Private not-for-profit","Four or more years"
"2005","160977","Bates College","Maine","4356","1272","","","","","","","","","","","Private not-for-profit","Four or more years"
"2005","161004","Bowdoin College","Maine","5026","1232","660","740","660","730","","","","","","","Private not-for-profit","Four or more years"
"2005","161086","Colby College","Maine","3874","1454","640","720","640","710","27","31","27","33","26","30","Private not-for-profit","Four or more years"
"2005","161165","Husson College","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2005","161217","University of Maine at Augusta","Maine","","","","","","","","","","","","","Public","Four or more years"
"2005","161226","University of Maine at Farmington","Maine","1602","1190","450","580","450","550","","","","","","","Public","Four or more years"
"2005","161235","University of Maine at Fort Kent","Maine","","","","","","","","","","","","","Public","Four or more years"
"2005","161244","University of Maine at Machias","Maine","374","312","430","570","400","540","18","25","17","25","17","25","Public","Four or more years"
"2005","161253","University of Maine","Maine","5622","4445","480","590","480","600","20","26","","","","","Public","Four or more years"
"2005","161280","University of Maine System Central Office","Maine","","","","","","","","","","","","","Public","Four or more years"
"2005","161299","Maine Maritime Academy","Maine","540","384","450","550","470","580","15","22","15","20","17","22","Public","Four or more years"
"2005","161341","University of Maine at Presque Isle","Maine","","","","","","","","","","","","","Public","Four or more years"
"2005","161448","New England Baptist Bible College","Maine","","","","","","","","","","","","","Private not-for-profit","Four or more years"
"2005","161457","University of New England","Maine","2060","1888","470","570","470","580","","","","","","","Private not-for-profit","Four or more years"
"2005","161509","Maine College of Art","Maine","472","324","480","590","450","570","17","20","18","29","16","26","Private not-for-profit","Four or more years"
"2005","161518","Saint Josephs College","Maine","1169","905","440","560","440","560","","","","","","","Private not-for-profit","Four or more years"
"2005","161554","University of Southern Maine","Maine","3601","2847","450","560","450","550","17","23","16","21","18","25","Public","Four or more years"
"2005","161563","Thomas College","Maine","478","392","410","520","410","520","15","24","","","","","Private not-for-profit","Four or more years"
